sample_id,tissue,group
1047-OV,ovary,cases
1082-OV,ovary,cases
1202-OV,ovary,cases
1279-OV,ovary,cases
1330-OV,ovary,cases
464-OV,ovary,cases
481-OV,ovary,cases
482-OV,ovary,cases
579-OV,ovary,cases
581-OV,ovary,cases
599-OV,ovary,cases
640-OV,ovary,cases
644A-OV,ovary,cases
645-OV,ovary,cases
713-OV,ovary,cases
726-OV,ovary,cases
728-OV,ovary,cases
730-OV,ovary,cases
731-OV,ovary,cases
732-OV,ovary,cases
733-OV,ovary,cases
739-OV,ovary,cases
740-OV,ovary,cases
788-OV,ovary,cases
936-OV,ovary,cases
1062-MG,midgut,cases
1082-MG,midgut,cases
1202-MG,midgut,cases
1313-MG,midgut,cases
481-MG,midgut,cases
581-MG,midgut,cases
640-MG,midgut,cases
644A-MG,midgut,cases
713-MG,midgut,cases
726-MG,midgut,cases
728-MG,midgut,cases
729-MG,midgut,cases
730-MG,midgut,cases
731-MG,midgut,cases
734-MG,midgut,cases
741-MG,midgut,cases
769-MG,midgut,cases
778-MG,midgut,cases
781-MG,midgut,cases
809-MG,midgut,cases
816-MG,midgut,cases
817-MG,midgut,cases
936-MG,midgut,cases
