sample_id,tissue,group
1210-OV,ovary,control
1211-OV,ovary,control
1212-OV,ovary,control
1213-OV,ovary,control
1214-OV,ovary,control
1215-OV,ovary,control
1216-OV,ovary,control
1217-OV,ovary,control
551-OV,ovary,control
552-OV,ovary,control
553-OV,ovary,control
554-OV,ovary,control
555-OV,ovary,control
556-OV,ovary,control
557-OV,ovary,control
900-OV,ovary,control
901-OV,ovary,control
902-OV,ovary,control
903-OV,ovary,control
904-OV,ovary,control
905-OV,ovary,control
906-OV,ovary,control
907-OV,ovary,control
1210-MG,midgut,control
1211-MG,midgut,control
1212-MG,midgut,control
1213-MG,midgut,control
1214-MG,midgut,control
1215-MG,midgut,control
1216-MG,midgut,control
1217-MG,midgut,control
551-MG,midgut,control
552-MG,midgut,control
553-MG,midgut,control
554-MG,midgut,control
555-MG,midgut,control
556-MG,midgut,control
557-MG,midgut,control
900-MG,midgut,control
901-MG,midgut,control
902-MG,midgut,control
903-MG,midgut,control
904-MG,midgut,control
905-MG,midgut,control
906-MG,midgut,control
907-MG,midgut,control
