genus,1062-MG,1082-MG,1202-MG,1313-MG,481-MG,482-MG,581-MG,640-MG,644A-MG,713-MG,726-MG,728-MG,729-MG,730-MG,731-MG,734-MG,741-MG,769-MG,778-MG,781-MG,809-MG,816-MG,817-MG,936-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Ralstonia,749,193,533,0,1,1204,122,322,624,1202,41,1133,639,450,0,565,1013,785,0,1686,1047,1343,3410,3537,20599,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
Pseudomonas,7962,7001,167,0,0,1,12,96,756,24,34,96,136,16,0,52,226,25,1,127,57,151,482,298,17720,Bacteria,none,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Peribacillus,478,297,173,0,0,3057,98,100,500,2118,10,503,449,1133,2,1523,381,404,1,1305,1380,355,1149,993,16409,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Peribacillus
Anaplasma,2,0,0,0,0,938,7345,0,18,0,0,2664,0,15,2,1171,89,0,0,64,67,1,0,1047,13423,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma
Polaromonas,10096,897,94,3,1,0,0,1,49,2,2,0,0,0,0,1,0,0,0,0,370,0,0,0,11516,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas
Paracoccus,22,1,1,0,0,184,0,932,86,1,0,1,25,0,0,77,70,76,0,1,0,57,356,9314,11204,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
Hymenobacter,51,48,149,0,0,608,7,65,255,0,5,66,650,284,1,984,95,0,0,0,1418,280,2196,443,7605,Bacteria,none,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Bacteria;none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter
Sphingomonas,319,117,212,0,0,1319,69,346,149,224,13,155,198,329,0,244,353,117,1,218,472,180,1610,823,7468,Bacteria,none,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Flavobacterium,3552,1078,30,0,1,0,0,0,0,0,0,0,36,30,0,1,50,0,0,0,0,0,1,22,4801,Bacteria,none,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Bacteria;none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
Shigella,88,14,41,0,0,54,3,31,108,32,9,103,107,15,0,1491,248,50,0,162,178,76,434,0,3244,Bacteria,none,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella
