sample_id,condition,mspecies,site,loc,house,feed
1062-MG,positive,An. funestus,Fihoni,out,nine,UF
1082-MG,positive,An. funestus,Fihoni,out,one,UF
1202-MG,positive,An. gambiae,Fihoni,out,five,UF
1313-MG,positive,An. Maculipalpis,Fihoni,out,ten,UF
481-MG,positive,An. gambiae,Jego,out,ten,UF
581-MG,positive,An. gambiae,Jego,out,one,BF
640-MG,positive,An. gambiae,Jego,in,two,UF
644A-MG,positive,An. gambiae,Jego,in,one,G
713-MG,positive,An. funestus,Jego,out,two,UF
726-MG,positive,An. gambiae,Jego,out,two,UF
728-MG,positive,An. gambiae,Jego,out,two,UF
729-MG,positive,An. gambiae,Jego,out,two,UF
730-MG,positive,An. gambiae,Jego,out,two,UF
731-MG,positive,An. gambiae,Jego,out,two,UF
734-MG,positive,An. gambiae,Jego,out,two,UF
741-MG,positive,An. gambiae,Jego,out,two,UF
769-MG,positive,An. gambiae,Jego,in,four,UF
778-MG,positive,An. gambiae,Jego,out,two,UF
781-MG,positive,An. gambiae,Jego,out,two,UF
809-MG,positive,An. gambiae,Jego,in,five,UF
816-MG,positive,An. gambiae,Jego,in,five,UF
817-MG,positive,Other Anopheles,Jego,in,five,UF
936-MG,positive,An. gambiae,Fihoni,in,four,UF
1210-MG,negative,An. funestus,Fihoni,out,six,UF
1211-MG,negative,An. Coustani,Fihoni,out,five,BF
1212-MG,negative,An. Coustani,Fihoni,out,five,UF
1213-MG,negative,An. Coustani,Fihoni,out,five,UF
1214-MG,negative,An. Coustani,Fihoni,out,five,UF
1215-MG,negative,An. gambiae,Fihoni,in,two,UF
1216-MG,negative,An. gambiae,Fihoni,out,six,UF
1217-MG,negative,An. funestus,Fihoni,in,eight,BF
551-MG,negative,An. funestus,Jego,out,three,UF
552-MG,negative,An. funestus,Jego,out,three,UF
553-MG,negative,An. funestus,Jego,out,three,UF
554-MG,negative,An. funestus,Jego,out,three,UF
555-MG,negative,An. gambiae,Jego,in,four,UF
556-MG,negative,An. gambiae,Jego,in,four,UF
557-MG,negative,An. gambiae,Jego,in,four,UF
900-MG,negative,An. gambiae,Jego,in,five,UF
901-MG,negative,An. gambiae,Jego,in,five,UF
902-MG,negative,An. gambiae,Jego,in,five,UF
903-MG,negative,An. gambiae,Jego,in,five,UF
904-MG,negative,An. gambiae,Jego,in,five,UF
905-MG,negative,An. gambiae,Jego,in,five,UF
906-MG,negative,An. gambiae,Jego,in,five,UF
907-MG,negative,An. funestus,Jego,out,two,UF
482-MG,positive,An. gambiae,Jego,out,ten,UF
