genus,1210-OV,1211-OV,1212-OV,1213-OV,1214-OV,1215-OV,1216-OV,1217-OV,551-OV,552-OV,553-OV,554-OV,555-OV,556-OV,557-OV,900-OV,901-OV,902-OV,903-OV,904-OV,905-OV,906-OV,907-OV,total,superkingdom,kingdom,phylum,class,order,family,tax
Ralstonia,1302,15,141,3136,1019,1478,1487,30,615,105,525,659,948,290,692,967,160,1308,1966,1261,1847,5029,1,24981,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
Asaia,76,0,0,0,0,0,1,0,0,0,22203,3,0,0,97,1,6,1420,2,0,0,1,0,23810,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia
Peribacillus,222,3,164,888,473,147,584,312,1210,654,1015,274,1583,266,560,1135,52,319,1299,938,428,194,0,12720,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Peribacillus
Pseudomonas,603,3,271,2222,2524,227,619,284,78,10,124,108,80,17,28,23,22,26,132,224,61,71,0,7757,Bacteria,none,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Sphingomonas,507,8,83,1178,310,123,684,264,209,149,224,229,251,241,35,490,86,492,57,720,162,123,0,6625,Bacteria,none,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Hymenobacter,161,0,75,125,136,198,326,133,313,119,177,646,391,214,554,67,0,53,272,118,27,299,0,4404,Bacteria,none,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Bacteria;none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter
Polaromonas,298,0,216,2910,227,8,299,2,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,3964,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas
Anaplasma,24,1,0,1,2348,0,213,0,0,0,80,31,0,63,58,0,9,0,152,20,3,275,0,3278,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma
Burkholderia,41,1,13,84,15,113,134,0,5,0,102,92,0,56,1,0,98,993,120,700,215,190,0,2973,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
Acinetobacter,180,0,42,430,132,67,114,168,216,37,9,37,33,8,17,15,39,304,52,762,76,1,1,2740,Bacteria,none,Proteobacteria,Gammaproteobacteria,Moraxellales,Moraxellaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter
Staphylococcus,10,0,46,284,38,54,69,0,310,154,143,0,326,78,150,243,80,162,344,1,95,126,0,2713,Bacteria,none,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
Cutibacterium,20,0,38,1,135,79,31,0,0,71,162,17,942,137,207,2,2,245,2,147,225,61,0,2524,Bacteria,none,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Bacteria;none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium
