genus,1047-OV,1082-OV,1202-OV,1279-OV,1330-OV,464-OV,481-OV,482-OV,579-OV,581-OV,599-OV,640-OV,644A-OV,645-OV,713-OV,726-OV,728-OV,730-OV,731-OV,732-OV,733-OV,739-OV,740-OV,788-OV,936-OV,total,superkingdom,kingdom,phylum,class,order,family,tax
Ralstonia,631,120,2863,1779,695,641,30,1204,499,503,1118,1091,256,1776,994,4287,453,2,1305,545,721,3407,802,1250,809,27781,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
Peribacillus,875,442,302,438,35,881,12,3057,432,763,1212,966,0,1780,2069,2203,356,0,387,590,153,1708,234,433,141,19469,Bacteria,none,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Peribacillus
Asaia,0,0,0,450,0,0,0,0,0,0,1,33,0,0,1,1,0,0,0,0,3690,0,8894,0,2181,15251,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia
Polaromonas,10618,857,2515,96,1,0,0,0,1,0,0,1,1,669,0,0,420,0,0,35,33,1,1,0,0,15249,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas
Sphingomonas,411,66,1310,1452,48,130,19,1319,127,270,266,282,131,557,210,1463,131,0,199,80,135,573,204,280,146,9809,Bacteria,none,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
Pseudomonas,3877,187,939,186,17,0,1,1,34,79,125,345,129,1685,12,232,39,0,208,129,346,33,147,15,142,8908,Bacteria,none,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Bacteria;none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
Paracoccus,92,0,109,1,1,40,4,184,34,0,0,1485,1636,0,104,0,183,0,0,50,180,1,152,125,172,4553,Bacteria,none,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Bacteria;none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
Aquabacterium,53,23,67,723,15,439,76,87,74,172,231,224,130,125,345,248,316,0,356,203,145,102,91,156,0,4401,Bacteria,none,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales_Incertae_sedis,Bacteria;none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Aquabacterium
Salinicoccus,5,5,0,0,0,0,0,219,0,2590,1,89,18,99,58,0,0,0,0,172,558,0,44,0,0,3858,Bacteria,none,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Bacteria;none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus
Hymenobacter,67,289,15,394,73,0,0,608,87,2,859,144,41,241,0,8,181,1,0,123,21,85,205,189,221,3854,Bacteria,none,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Bacteria;none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter
