tax	1210-MG	1211-MG	1212-MG	1213-MG	1214-MG	1215-MG	1216-MG	1217-MG	551-MG	552-MG	553-MG	554-MG	555-MG	556-MG	557-MG	900-MG	901-MG	902-MG	903-MG	904-MG	905-MG	906-MG	907-MG	total
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Zymobacter	1	0	0	0	0	0	0	0	23	656	0	45930	26	3	0	12	0	0	0	122183	55	65	0	168954
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	2568	6658	745	2022	5041	2941	1112	701	712	662	598	14447	2377	1258	714	2937	6	11	1885	5477	566	979	198	54615
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	1084	228	122	473	5864	1247	361	170	222	222	175	59	470	35	143	1550	0	0	1646	71	897	100	52	15191
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter	454	30	186	58	166	155	14	10	68	0	15	6555	4	4	22	71	0	0	334	26	12	73	15	8272
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	845	1641	63	319	1869	1504	231	261	14	97	54	31	85	37	24	28	0	0	86	2	13	65	30	7299
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Peribacillus	506	112	88	125	1075	54	126	507	924	247	636	16	197	94	65	292	0	0	1237	21	165	143	6	6636
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium	31	77	23	14	136	0	0	0	40	30	42	26	3045	59	55	30	0	0	441	4	2	0	0	4055
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	464	73	48	135	1604	341	150	55	79	121	21	26	213	27	50	128	0	0	273	3	43	66	9	3929
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas	1399	71	23	274	605	451	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2995
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	72	26	23	113	361	225	37	232	574	162	368	0	259	42	142	122	0	0	37	2	11	58	2	2868
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas	59	58	32	141	451	725	1022	41	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2535
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Aquabacterium	107	35	31	17	1061	46	87	34	77	96	0	3	229	0	138	67	0	0	0	0	0	10	4	2042
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma	0	0	0	21	33	0	6	0	0	0	100	0	192	0	0	638	0	0	0	1	93	905	10	1999
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	200	409	50	41	695	320	45	78	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	1888
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	36	1	28	39	178	63	0	131	0	54	94	0	29	0	0	88	0	0	884	22	14	30	7	1698
