tax	1062-MG	1082-MG	1202-MG	1313-MG	481-MG	482-MG	581-MG	640-MG	644A-MG	713-MG	726-MG	728-MG	729-MG	730-MG	731-MG	734-MG	741-MG	769-MG	778-MG	781-MG	809-MG	816-MG	817-MG	936-MG	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	5859	1806	916	24	25	2686	1257	1136	1597	1094	131	2346	1419	1405	56	3479	2490	1165	5	2978	2801	1615	10723	4961	51974
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	544	122	397	0	0	985	82	251	462	1089	31	888	516	339	0	349	777	665	0	1264	798	1096	2521	2774	15950
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	6341	6253	108	0	0	0	7	58	538	17	28	65	87	9	0	30	149	16	0	87	41	109	297	185	14425
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Peribacillus	331	208	108	0	0	2655	58	67	363	1891	8	355	336	931	0	1095	260	308	0	1011	1145	257	809	679	12875
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma	0	0	0	0	0	605	6480	0	5	0	0	1974	0	0	1	905	30	0	0	19	1	0	0	704	10724
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas	8297	656	63	0	0	0	0	0	30	0	1	0	0	0	0	0	0	0	0	0	297	0	0	0	9344
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	10	0	0	0	0	118	0	738	47	0	0	0	12	0	0	38	32	54	0	0	0	23	212	7856	9140
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	27	27	113	0	0	495	3	43	179	0	2	33	537	206	0	726	60	0	0	0	1200	207	1626	299	5783
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	177	60	148	0	0	1058	36	256	97	187	6	85	137	242	0	135	198	83	0	140	340	108	1060	487	5040
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	3065	913	23	0	0	0	0	0	0	0	0	0	20	0	0	0	26	0	0	0	0	0	1	14	4062
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella	55	12	26	0	0	25	2	16	77	26	8	52	74	7	0	1293	184	35	0	115	137	55	358	0	2557
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	0	0	0	0	0	1	0	0	18	0	0	0	0	22	0	2	0	0	0	0	0	0	2360	0	2403
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus	0	0	0	0	0	147	39	0	0	110	0	66	0	0	0	270	87	61	0	415	252	0	424	64	1935
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter	147	12	13	0	0	177	11	11	55	81	23	60	130	47	0	86	100	23	0	257	315	84	74	64	1770
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	27	0	33	0	0	0	0	7	0	0	0	50	0	0	0	96	33	5	0	151	452	49	285	79	1267
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	11	11	31	0	0	36	0	26	16	2	7	58	50	13	0	215	115	48	0	154	138	85	245	0	1261
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Aquabacterium	238	0	28	0	0	61	13	24	45	152	11	52	60	0	0	71	28	14	0	63	0	42	0	341	1243
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	956	0	112	0	1090
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	64	44	48	0	0	0	0	871	0	1084
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Pelomonas	0	0	0	0	0	0	0	0	41	70	0	20	0	54	0	46	0	66	0	147	108	0	396	111	1059
