task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	07/07730e	196783	minimap_pipeline:run_common:getParams	COMPLETED	0	2024-06-02 12:39:13.684	1.5s	3ms	109.1%	0	0	58.7 KB	3.3 KB
6	65/51313c	197427	minimap_pipeline:output_results (1)	COMPLETED	0	2024-06-02 12:39:15.240	921ms	4ms	109.1%	0	0	55.5 KB	206 B
4	33/d05049	196764	minimap_pipeline:run_common:getVersions	COMPLETED	0	2024-06-02 12:39:13.672	3.3s	1.9s	145.7%	68.1 MB	1.6 GB	12.1 MB	8.7 MB
7	4c/a1c85a	197929	minimap_pipeline:output_results (2)	COMPLETED	0	2024-06-02 12:39:16.974	1.1s	3ms	109.1%	0	0	55.5 KB	206 B
1	09/b0538e	196743	validate_sample_sheet	COMPLETED	0	2024-06-02 12:39:13.658	17.6s	16s	104.0%	425.1 MB	1.9 GB	46.8 MB	26.7 MB
16	32/123c88	198849	fastcat (9)	COMPLETED	0	2024-06-02 12:39:31.377	2.5s	613ms	113.0%	85.5 MB	177.1 MB	40.5 MB	29.3 MB
15	a4/f9e77b	198823	fastcat (8)	COMPLETED	0	2024-06-02 12:39:31.366	2.6s	632ms	115.4%	81.2 MB	177 MB	52.5 MB	36.5 MB
11	db/0ae251	198813	fastcat (4)	COMPLETED	0	2024-06-02 12:39:31.356	2.9s	928ms	117.4%	85.8 MB	177.1 MB	68.3 MB	49 MB
8	6f/0d8567	198792	fastcat (1)	COMPLETED	0	2024-06-02 12:39:31.336	3.6s	2.4s	118.0%	87.5 MB	177.8 MB	180.9 MB	130.9 MB
9	85/69b5cb	200617	fastcat (2)	COMPLETED	0	2024-06-02 12:39:34.302	1.8s	81ms	90.6%	82.2 MB	165.8 MB	244.9 KB	101.1 KB
17	a3/062300	200331	fastcat (10)	COMPLETED	0	2024-06-02 12:39:33.987	2.7s	623ms	116.0%	85.7 MB	177.1 MB	44.2 MB	31.6 MB
12	1a/bbdd47	200242	fastcat (5)	COMPLETED	0	2024-06-02 12:39:33.894	2.9s	1.6s	119.7%	87.3 MB	177.8 MB	132.6 MB	94.5 MB
