tax	1210-OV	1211-OV	1212-OV	1213-OV	1214-OV	1215-OV	1216-OV	1217-OV	551-OV	552-OV	553-OV	554-OV	555-OV	556-OV	557-OV	900-OV	901-OV	902-OV	903-OV	904-OV	905-OV	906-OV	907-OV	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	1458	129	583	6263	2669	2021	2156	484	1852	909	2604	724	3943	893	1156	1290	950	3889	2708	5784	1935	1925	27	46352
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia	52	0	0	0	0	0	0	0	0	0	20932	0	0	0	65	0	4	1093	0	0	0	0	0	22146
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	1057	10	105	2438	793	1193	1230	20	489	77	389	557	737	223	564	848	128	1013	1580	884	1490	4387	0	20212
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Peribacillus	170	2	120	601	365	107	442	259	965	557	752	226	1215	195	439	953	34	200	1005	631	315	140	0	9693
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	471	2	206	1551	2032	155	467	212	53	6	79	74	47	11	17	12	14	9	88	126	36	45	0	5713
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	371	5	54	765	201	68	498	214	150	117	161	175	154	170	24	411	54	329	33	435	103	74	0	4566
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	104	0	52	64	77	154	239	113	239	92	120	564	281	161	446	41	0	30	190	67	19	226	0	3279
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas	226	0	151	2222	154	4	235	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2994
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma	0	0	0	0	1864	0	135	0	0	0	25	0	0	0	0	0	2	0	92	0	0	198	0	2316
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	32	1	7	49	7	79	100	0	0	0	61	75	0	41	0	0	67	732	68	489	169	153	0	2130
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium	11	0	27	0	75	56	17	0	0	4	123	16	721	103	156	1	1	161	1	100	175	37	0	1785
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0	0	35	177	19	0	40	0	180	125	101	0	207	50	113	201	48	107	208	0	63	81	0	1755
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter	125	0	27	230	65	40	78	126	137	21	6	2	19	3	9	7	23	183	29	481	39	0	0	1650
