task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	54/fb0e15	331359	minimap_pipeline:run_common:getParams	COMPLETED	0	2024-06-02 13:45:14.652	1.6s	3ms	57.1%	0	0	58.7 KB	3.3 KB
6	d1/70f8cf	331989	minimap_pipeline:output_results (1)	COMPLETED	0	2024-06-02 13:45:16.306	1.2s	3ms	100.0%	0	0	55.5 KB	206 B
3	b0/a164b1	331319	minimap_pipeline:run_common:getVersions	COMPLETED	0	2024-06-02 13:45:14.621	3.5s	1.9s	134.8%	61 MB	1.6 GB	12.1 MB	8.7 MB
7	8f/e6c9f3	332466	minimap_pipeline:output_results (2)	COMPLETED	0	2024-06-02 13:45:18.143	1.1s	3ms	109.1%	0	0	55.5 KB	206 B
1	4c/bfe897	331338	validate_sample_sheet	COMPLETED	0	2024-06-02 13:45:14.637	17.8s	16.1s	103.7%	438.6 MB	1.9 GB	46.8 MB	26.7 MB
10	ea/3acde7	333306	fastcat (3)	COMPLETED	0	2024-06-02 13:45:32.432	2s	591ms	112.8%	69.2 MB	177 MB	43.2 MB	30.9 MB
12	13/bdc2a2	333313	fastcat (5)	COMPLETED	0	2024-06-02 13:45:32.440	2.1s	291ms	111.5%	85.7 MB	177 MB	16.7 MB	11.9 MB
8	76/8815e2	333342	fastcat (1)	COMPLETED	0	2024-06-02 13:45:32.457	2.3s	504ms	112.9%	85.9 MB	177.1 MB	34.7 MB	24.8 MB
9	20/c70873	333321	fastcat (2)	COMPLETED	0	2024-06-02 13:45:32.448	2.6s	405ms	113.3%	85.7 MB	177.1 MB	26.2 MB	18.8 MB
18	25/decf49	334745	fastcat (11)	COMPLETED	0	2024-06-02 13:45:34.535	2.1s	66ms	94.4%	82.5 MB	165.8 MB	268.4 KB	115.1 KB
17	02/f6e97a	334834	fastcat (10)	COMPLETED	0	2024-06-02 13:45:34.746	2.3s	242ms	107.7%	85.9 MB	177.1 MB	11.4 MB	8.2 MB
20	2f/dff6ba	334931	fastcat (13)	COMPLETED	0	2024-06-02 13:45:35.043	2.1s	315ms	109.1%	85.9 MB	177.1 MB	18.2 MB	13 MB
19	1f/72955e	334651	fastcat (12)	COMPLETED	0	2024-06-02 13:45:34.397	3s	711ms	115.5%	85.7 MB	177.1 MB	49.5 MB	35.5 MB
15	61/f7e18f	336059	fastcat (8)	COMPLETED	0	2024-06-02 13:45:36.599	3s	843ms	115.5%	85.6 MB	177.1 MB	61.5 MB	44 MB
14	be/edd997	336345	fastcat (7)	COMPLETED	0	2024-06-02 13:45:37.406	2.5s	698ms	119.4%	87.2 MB	177.8 MB	55.6 MB	39.4 MB
25	3d/c49b2f	336254	fastcat (18)	COMPLETED	0	2024-06-02 13:45:37.160	2.9s	727ms	115.6%	80.7 MB	177 MB	52.1 MB	37.3 MB
11	35/f0d7f5	336165	fastcat (4)	COMPLETED	0	2024-06-02 13:45:37.023	3.2s	1.5s	117.3%	87.2 MB	177.8 MB	112.8 MB	81.3 MB
13	f6/f3891f	337706	fastcat (6)	COMPLETED	0	2024-06-02 13:45:39.944	2.3s	571ms	116.4%	85.3 MB	177 MB	36.8 MB	26.2 MB
22	ed/c294f0	337893	fastcat (15)	COMPLETED	0	2024-06-02 13:45:40.220	2.3s	496ms	118.8%	85.7 MB	177.1 MB	33.3 MB	23.8 MB
21	74/64c939	337796	fastcat (14)	COMPLETED	0	2024-06-02 13:45:40.058	2.6s	1s	117.6%	75.2 MB	177 MB	72.8 MB	52.5 MB
16	56/e41b4a	337613	fastcat (9)	COMPLETED	0	2024-06-02 13:45:39.587	3.8s	1.8s	122.8%	87.6 MB	177.8 MB	165.6 MB	116.1 MB
26	7e/46669b	339071	fastcat (19)	COMPLETED	0	2024-06-02 13:45:42.212	1.4s	92ms	83.5%	84.4 MB	171.7 MB	1.1 MB	709.9 KB
23	78/0bfd08	339340	fastcat (16)	COMPLETED	0	2024-06-02 13:45:42.699	2.2s	660ms	117.3%	87.6 MB	177.1 MB	49.2 MB	35.1 MB
24	5d/0a1eb3	339234	fastcat (17)	COMPLETED	0	2024-06-02 13:45:42.517	2.7s	805ms	119.1%	85.5 MB	177.1 MB	60.8 MB	43.6 MB
27	88/bd9187	339789	fastcat (20)	COMPLETED	0	2024-06-02 13:45:43.431	2s	205ms	107.4%	85.7 MB	177.1 MB	12.1 MB	8.6 MB
29	42/ae0a66	339875	fastcat (22)	COMPLETED	0	2024-06-02 13:45:43.651	3.1s	1.2s	116.8%	87.7 MB	177.8 MB	90.7 MB	65.7 MB
28	50/46eafb	340875	fastcat (21)	COMPLETED	0	2024-06-02 13:45:44.933	1.9s	280ms	112.3%	85.8 MB	177.1 MB	16.2 MB	11.6 MB
30	3f/adbfae	340970	fastcat (23)	COMPLETED	0	2024-06-02 13:45:45.266	1.9s	203ms	112.2%	85.9 MB	177.1 MB	11.2 MB	8.1 MB
31	ca/97c9e6	341871	minimap_pipeline:minimap (905-OV)	COMPLETED	0	2024-06-02 13:45:47.161	2m 27s	2m 26s	1079.5%	1.1 GB	3.6 GB	597.7 MB	112.1 MB
32	43/a4bc40	346618	minimap_pipeline:minimap (552-OV)	COMPLETED	0	2024-06-02 13:48:14.296	1m 4s	1m 3s	935.1%	1.1 GB	3.6 GB	541.8 MB	61.7 MB
33	82/8fe432	349362	minimap_pipeline:minimap (551-OV)	COMPLETED	0	2024-06-02 13:49:18.787	1m 53s	1m 52s	1042.5%	1.1 GB	3.6 GB	579.8 MB	95.9 MB
34	04/8492f2	353298	minimap_pipeline:minimap (557-OV)	COMPLETED	0	2024-06-02 13:51:12.120	1m 27s	1m 26s	1003.5%	1 GB	3.6 GB	562.1 MB	80 MB
35	52/9c4cae	356605	minimap_pipeline:minimap (907-OV)	COMPLETED	0	2024-06-02 13:52:38.809	29.6s	28.5s	128.8%	766.1 MB	3.1 GB	507.4 MB	30.8 MB
36	63/2b62c9	358689	minimap_pipeline:minimap (901-OV)	COMPLETED	0	2024-06-02 13:53:08.364	47.1s	46.1s	800.0%	1.1 GB	3.7 GB	531.3 MB	52.4 MB
