tax	1047-OV	1082-OV	1202-OV	1279-OV	1330-OV	464-OV	481-OV	579-OV	581-OV	599-OV	640-OV	644A-OV	645-OV	713-OV	726-OV	728-OV	730-OV	731-OV	732-OV	733-OV	739-OV	740-OV	788-OV	936-OV	total
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	3842	918	2208	2202	2414	1373	74	535	6454	1598	5612	1110	12514	687	3361	788	6	1580	1367	4049	1316	2634	665	1756	59063
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia	509	44	2406	1444	581	422	23	418	359	914	711	190	1301	903	3686	388	0	1136	410	526	3105	556	1110	641	21783
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia	0	0	0	363	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	3068	0	7997	0	1846	13290
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Peribacillus	678	355	217	343	24	722	8	353	505	990	686	0	1211	1953	1827	311	0	176	463	94	1496	136	387	88	13023
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Polaromonas	9268	700	2104	80	0	0	0	0	0	0	0	0	422	0	0	367	0	0	30	22	0	0	0	0	12993
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas	3182	137	715	137	12	0	0	26	48	92	202	87	1053	11	152	30	0	149	83	231	25	91	13	82	6558
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	259	40	1017	1205	27	89	15	90	142	197	176	93	297	192	1110	105	0	131	49	76	471	130	236	89	6236
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Aquabacterium	26	16	55	636	10	348	67	59	109	188	171	94	101	302	191	262	0	261	165	103	74	63	144	0	3445
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus	52	0	48	0	0	0	0	27	0	0	1072	1384	0	86	0	145	0	0	22	99	0	77	58	81	3151
Bacteria;Bacteria_none;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium	2287	224	388	70	0	0	0	0	0	0	0	2	34	0	0	0	0	0	0	2	0	7	0	0	3014
Bacteria;Bacteria_none;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Hymenobacter	36	233	8	316	47	0	0	58	0	694	86	18	126	0	5	156	0	0	86	11	66	138	163	157	2404
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus	0	0	0	0	0	0	0	0	1571	0	39	0	48	47	0	0	0	0	122	331	0	25	0	0	2183
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	16	5	25	81	0	0	1	4	6	28	0	0	80	185	1063	90	0	0	299	18	93	44	10	2	2050
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Pseudoduganella	0	0	0	0	0	0	0	0	0	0	0	0	2046	0	0	0	0	0	0	0	0	0	0	0	2046
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Propionibacteriales;Propionibacteriaceae;Cutibacterium	0	0	49	38	21	221	7	32	16	141	404	7	300	0	148	54	0	104	9	81	57	0	126	6	1821
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter	66	31	7	33	9	0	0	38	25	52	9	48	115	34	176	0	0	0	161	317	68	140	359	69	1757
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	0	31	0	43	0	95	1	59	133	107	0	0	176	0	645	0	0	0	12	20	68	0	0	20	1410
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium	0	13	0	0	2	0	0	5	751	0	14	0	16	0	5	8	0	26	13	462	0	0	0	0	1315
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Dietziaceae;Dietzia	0	0	0	0	0	0	0	0	2	0	11	0	0	0	0	0	0	10	4	1163	19	16	0	0	1225
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Massilia	0	0	0	0	0	0	0	0	0	0	0	0	24	0	1145	0	0	0	0	0	0	0	0	0	1169
Bacteria;Bacteria_none;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	0	0	0	0	0	0	0	0	635	0	30	0	0	67	0	0	0	3	11	338	0	23	0	0	1107
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella	28	49	9	58	5	23	4	0	11	40	34	18	86	241	69	161	0	69	19	8	42	81	0	49	1104
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera	725	161	42	59	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	1057
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Hyphomicrobiales;Methylobacteriaceae;Methylorubrum	0	0	0	0	5	0	0	0	27	131	0	0	0	0	605	38	0	0	22	33	177	0	0	0	1038
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	15	16	24	72	6	23	4	9	10	52	41	7	53	186	71	134	0	105	27	21	59	12	0	64	1011
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	478	0	19	112	0	77	0	0	0	0	0	0	85	0	162	0	0	0	0	0	0	0	0	48	981
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0	0	0	0	0	75	5	0	0	167	107	0	297	0	221	0	0	0	0	0	0	41	0	52	965
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter	0	26	220	123	0	0	0	52	34	33	0	26	63	0	108	64	0	0	0	16	0	22	72	19	878
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax	17	0	3	357	0	0	0	0	0	0	0	0	30	114	107	1	0	99	0	11	0	0	121	16	876
Bacteria;Bacteria_none;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas	2	0	14	232	0	0	0	0	0	27	0	7	21	0	0	0	0	72	4	23	364	21	0	0	787
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax	96	0	2	3	25	23	1	34	25	102	0	20	64	1	182	0	0	0	19	0	0	0	133	7	737
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Hydrogenophaga	0	14	1	1	0	0	0	1	0	0	467	3	2	0	2	0	0	0	0	0	0	0	144	0	635
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0	0	0	0	0	0	0	0	169	234	50	18	1	0	0	84	0	0	1	0	0	24	0	0	581
Bacteria;Bacteria_none;Firmicutes;Bacilli;Bacillales;Bacillaceae;Niallia	0	0	30	0	0	0	0	0	497	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	528
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Prolinoborus	14	0	18	31	2	0	0	10	0	7	2	1	0	3	36	10	0	15	11	249	24	4	59	9	505
Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Enteractinococcus	0	0	0	0	0	0	0	0	180	0	6	0	0	0	0	0	0	81	18	192	0	9	0	0	486
Bacteria;Bacteria_none;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Stutzerimonas	0	0	28	0	0	0	0	2	10	0	0	136	43	0	76	8	0	38	42	24	0	4	29	9	449
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Vogesella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	57	36	0	63	0	0	442
Bacteria;Bacteria_none;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiales_Incertae_sedis;Aquariibacter	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	65	0	0	28	51	205	0	0	0	396
