genus,1062-MG,1082-MG,1202-MG,1313-MG,481-MG,482-MG,581-MG,640-MG,644A-MG,713-MG,726-MG,728-MG,729-MG,730-MG,731-MG,734-MG,741-MG,769-MG,778-MG,781-MG,809-MG,816-MG,817-MG,936-MG,total,superkingdom,kingdom,phylum,class,order,family,tax
Aquihabitans,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans
Ilumatobacter,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter
Bounagaea,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Actinomycetia_Incertae_sedis,Actinomycetia_Incertae_sedis_Incertae_sedis,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Actinomycetia_Incertae_sedis;Actinomycetia_Incertae_sedis_Incertae_sedis;Bounagaea
Corynebacterium,0,11,0,0,0,0,7,0,0,0,0,107,0,0,0,89,0,42,0,149,0,40,100,0,545,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium
Dietzia,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,31,8,0,0,21,7,0,93,0,164,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Dietziaceae;Dietzia
Mycolicibacterium,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium
Rhodococcus,21,0,0,0,0,0,0,0,0,0,1,0,11,16,0,0,0,0,0,21,0,0,201,0,271,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Rhodococcus
Smaragdicoccus,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Smaragdicoccus
Cryptosporangium,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Cryptosporangiales,Cryptosporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Cryptosporangiales;Cryptosporangiaceae;Cryptosporangium
Blastococcus,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,22,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Geodermatophilales;Geodermatophilaceae;Blastococcus
Quadrisphaera,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Kineosporiales,Kineosporiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Kineosporiales;Kineosporiaceae;Quadrisphaera
Georgenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,62,0,73,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Bogoriellaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Bogoriellaceae;Georgenia
Actinotalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,8,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Cellulomonadaceae;Actinotalea
Cellulomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Cellulomonadaceae;Cellulomonas
Brachybacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,41,0,0,125,0,194,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium
Intrasporangium,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Intrasporangium
Janibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,107,0,113,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter
Knoellia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,0,47,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Knoellia
Ornithinicoccus,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Ornithinicoccus
Kytococcus,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,13,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Kytococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Kytococcaceae;Kytococcus
Leucobacter,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Leucobacter
Microbacterium,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,15,0,0,39,0,0,3,0,73,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacterium
