genus,1210-OV,1211-OV,1212-OV,1213-OV,1214-OV,1215-OV,1216-OV,1217-OV,551-OV,552-OV,553-OV,554-OV,555-OV,556-OV,557-OV,900-OV,901-OV,902-OV,903-OV,904-OV,905-OV,906-OV,907-OV,total,superkingdom,kingdom,phylum,class,order,family,tax
Arenimicrobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,Bacteria,Bacteria_none,Acidobacteria,Blastocatellia,Blastocatellales,Pyrinomonadaceae,Bacteria;Bacteria_none;Acidobacteria;Blastocatellia;Blastocatellales;Pyrinomonadaceae;Arenimicrobium
Vicinamibacter,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Bacteria,Bacteria_none,Acidobacteria,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Bacteria;Bacteria_none;Acidobacteria;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter
Corynebacterium,0,0,0,0,13,0,0,0,0,0,0,0,23,1,0,14,7,165,5,59,31,11,0,329,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium
Dietzia,0,0,0,0,5,0,0,0,81,0,0,0,0,5,0,15,0,333,0,65,0,0,0,504,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Dietziaceae;Dietzia
Lawsonella,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,3,0,0,0,0,0,16,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Lawsonellaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Lawsonellaceae;Lawsonella
Nocardia,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Nocardia
Rhodococcus,6,0,5,0,4,0,0,0,18,0,0,0,0,14,0,1,0,0,0,133,0,0,0,181,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Rhodococcus
Blastococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Geodermatophilales;Geodermatophilaceae;Blastococcus
Geodermatophilus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,0,0,24,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Geodermatophilales;Geodermatophilaceae;Geodermatophilus
Pseudokineococcus,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Kineosporiales,Kineosporiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Kineosporiales;Kineosporiaceae;Pseudokineococcus
Georgenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,22,0,0,36,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Bogoriellaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Bogoriellaceae;Georgenia
Brevibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,59,0,0,0,0,0,73,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium
Actinotalea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Cellulomonadaceae;Actinotalea
Cellulomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Cellulomonadaceae;Cellulomonas
Brachybacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,41,13,187,66,8,0,325,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium
Piscicoccus,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,36,0,0,0,78,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Dermatophilaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Dermatophilaceae;Piscicoccus
Janibacter,5,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,4,144,0,408,46,0,0,616,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Janibacter
Knoellia,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,39,0,0,0,57,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Knoellia
Agrococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,96,0,0,0,97,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Agrococcus
Arenivirga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,39,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Arenivirga
Frondihabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Frondihabitans
Gulosibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,58,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Gulosibacter
Microbacterium,40,0,0,0,2,0,41,0,0,0,0,1,0,9,0,0,2,0,0,68,17,0,0,180,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Microbacterium
Arthrobacter,0,0,0,0,0,18,36,0,0,0,0,0,0,0,0,0,0,1,0,46,0,0,0,101,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Arthrobacter
Citricoccus,0,0,3,0,0,0,0,0,0,0,0,0,96,24,0,0,0,113,0,79,0,0,0,315,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Micrococcaceae;Citricoccus
