genus,1047-OV,1082-OV,1202-OV,1279-OV,1330-OV,464-OV,481-OV,579-OV,581-OV,599-OV,640-OV,644A-OV,645-OV,713-OV,726-OV,728-OV,730-OV,731-OV,732-OV,733-OV,739-OV,740-OV,788-OV,936-OV,total,superkingdom,kingdom,phylum,class,order,family,tax
Aridibacter,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,Bacteria,Bacteria_none,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Bacteria;Bacteria_none;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter
Blastocatella,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,53,Bacteria,Bacteria_none,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae,Bacteria;Bacteria_none;Acidobacteria;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella
Actinomarinicola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,Bacteria,Bacteria_none,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Actinomarinicola
Aquihabitans,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,Bacteria,Bacteria_none,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Iamiaceae,Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans
Desertimonas,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,23,Bacteria,Bacteria_none,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Desertimonas
Ilumatobacter,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,17,Bacteria,Bacteria_none,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Bacteria;Bacteria_none;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter
Acidothermus,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Acidothermales,Acidothermaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Acidothermales;Acidothermaceae;Acidothermus
Flaviflexus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Actinomycetales,Actinomycetaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Actinomycetales;Actinomycetaceae;Flaviflexus
Corynebacterium,0,13,0,0,2,0,0,5,751,0,14,0,16,0,5,8,0,26,13,462,0,0,0,0,1315,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Corynebacteriaceae;Corynebacterium
Dietzia,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,10,4,1163,19,16,0,0,1225,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Dietziaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Dietziaceae;Dietzia
Mycobacterium,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycobacterium
Mycolicibacterium,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Mycobacteriaceae;Mycolicibacterium
Nocardia,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,69,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Nocardia
Rhodococcus,10,0,4,55,0,0,0,11,0,0,2,0,0,0,0,0,0,0,0,8,0,21,0,0,111,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Corynebacteriales;Nocardiaceae;Rhodococcus
Blastococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,31,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Geodermatophilales;Geodermatophilaceae;Blastococcus
Geodermatophilus,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Geodermatophilales,Geodermatophilaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Geodermatophilales;Geodermatophilaceae;Geodermatophilus
Georgenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,28,0,0,0,0,48,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Bogoriellaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Bogoriellaceae;Georgenia
Brevibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,23,0,8,49,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Brevibacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae;Brevibacterium
Cellulomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Cellulomonadaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Cellulomonadaceae;Cellulomonas
Brachybacterium,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,137,0,13,0,0,151,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Dermabacteraceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae;Brachybacterium
Ornithinicoccus,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Intrasporangiaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae;Ornithinicoccus
Curtobacterium,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,Bacteria,Bacteria_none,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Bacteria;Bacteria_none;Actinobacteria;Actinomycetia;Micrococcales;Microbacteriaceae;Curtobacterium
